Sno,Name/Address,Installed Capacity (MTA)
23,"Asquare Industrial Solutions Gala No. 3, Plot No. 35, Mulgaon, MIDC Khopoli, Tal. Khopoli, Dist. Raigad",300
24,"Avis Technoways Plot No. A-58, MIDC Osmanabad, Dist. Osmanabad",500
25,"Baban Plastic, Gut No. 1, At. Sajapur, Tal. & Dist. Aurangabad 401136",500
26,"Bharat E Waste Recycling Co. Sr. No. 189, Vill. Waliv, Vasai-Virar City (M Corp), Palghar - 401208.",500
27,"Bhavesh Enterprises, Sr. No. 225/11, Hissa No. 23, Gausiya Compound, Gate No. 1, Vill. Pimpri, Tal. & Dist. Thane",200
28,"BKE RECYCLING Adsul Mala, Shivram Nagar,Uruli Devachi,URULI DEVACHI,Pune - 412308",300
29,"Bombay Metal Works, Sr. 54, Hissa No. 4, Dahisar Road, Pimpri, Tal & Dist: Thane",1000
30,"Bombay Recyclers Pvt. Ltd. Gala No. P-17-18, S. No. 121/2, Balaji Industrial Park, Behind Hindalco Co. MIDC Taloja, Panvel, Dist. Raigad",200
31,"Bsqaure E-Waste Recyclers, Gala No. 800, Survey No. 69/3, Siddhivinayak Market, Mohammadia Estate, Pimpri, Thane, Dist: Thane,Maharashtra.",325
32,"CBS EWaste Recycling Industries G.No. 18/63/2, At. Khanapur, Tal. Akole, Dist. Ahmednagar",2500
33,"Chaudhary Metal 80/2, Village -Waliwali Dahisar, Mori, Mumbra Panvel Road, Group Grampachayat, Dist. Thane - 400612",350
34,"Clean Tech B/8, Gala no:  3,  Parasnath indl Estate, Anjurphata Road, vill: Val, Tal: Bhiwandi Dist: Thane",360
35,"Connect Info Solutions India Private Limited  c/o:A-one Logistics Shop No 4,Saibaba Apartment,Plot No 12,Sector 9,Near Corporation Bank,Khanda Colony,New Panvel-410206",130
36,"CPG Shell Mould & Casting, Plot No. W- 39, Additional MIDC, Satara",1000
37,"E Clean E Green Recycling Umar Compound, Jabar Pada, Nalasopara, Vasai-Virar City (M Corp), Dist. Palghar 401208.",500
38,"Earth Sense Recycle Pvt. Ltd. A7, Gala No.1,2 & 3, Ground Floor, Prerana Complex, Val Village, Dapoda Road, Anjurphatta, Bhiwandi, District- Thane.",750
39,"Eco Layer E-Waste Recycling S. No. 11, H. No. 1/1, PT-8, S. K. Indl. Estate, Choudhary Compound, Vasai E, Palghar",110
40,"Eco Tantra LLP M-365, Raviwar Peth, Bohari Lane, Tal. & Dist. Pune",160
41,"Eco Tech Recycling, C/6, (5), Sagar Industrial Estate, S. No. 46/4, Dhumal Nagar, Vasai (E), Tal: Vasai, Dist: Palghar.",450
42,"Ecostar Recycling, Survey No.94 Hissa No.12 Mahadev Industrial, Near Ladi Company, Mumbra, Dist:- Thane- 400612.",275
43,"EMS Scrapo, S. No. 199, Hissa No. 3, Bharat Market, Khan Compound, Shil-Mahape Road, Shil, Tal. & Dist. Thane",90
44,"Envirocare Recycling Pvt. Ltd. Unit no: 8/ C-I Actual Industrial Complex , Uchat, Road, Village : Magathane, Tal : Wada Dist : Thane",500
45,"Environment Experts, Gala No. 11, Lane, J. K. Compound, Opp. Roshan Comp. Kherani Road, Sakinaka, Mumbai",350
46,"E-Recon Recycling Pvt. Ltd. Gut No. 94, Chitegaon, Tal. Paithan, Dist. Aurangabad",500
47,"E -Refine Corporation Gut No. 24, Plot No. 2, Dargah Road, Additional Daultabad, Tal. & Dist. Aurangabad",260
48,"E-Waste Global, Gate No. 2, Near Theur Phata, Lonikand, Pune Nagar Road, Tal. Haveli, Dist. Pune 412216",240
49,"E-Waste Mart Survey No.94,Gala No.6,Umar Compound, Jahar Pada,Nalasopara, Vasai- Virar City (M Corp), District - Palghar - 401208.",500
50,"General Technologies India Pvt Ltd, Plot No. MBP-2, Building No.A-1, Office No. 1213, 12th Floor, Rupa Solitaire Building, TTC Industrial Area, Mahape, Dist. Thane",100
51,"GNG Electronics Pvt. Ltd. Sr. No. 54, Hissa No. Dahisar Rd, Pimpri, Tal. & Dist. - Thane",750
52,"Go Green Recycling Unit No. 75/66, Hasti Industrial Estate, TTC Industrial Area, Mahape, Navi Mumbai",150
53,"Grade Infratech Pvt. Ltd., Gut No. 849, Near Mahindra CIE, Ambethan Chakan, Village Chakan, Tal. Khed, Dist. Pune",300
54,"Green Enviro Services, 118/1, Wasali, Tal. Khed, Dist. Pune",700
55,"GREEN INDIA E-WASTE & RECYCLING OPC PVT. LTD. SURVEY NO. 74, HISSA NO. 1/A, House No. 500, POST- DAHISAR, District - Thane.",390
56,"Green IT Recycling Center Pvt Ltd Plot No. D-222, MIDC Ranjangaon, Dist.- Pune - 412209",365
57,"Green IT Recycling Centre Pvt. Ltd. GatE No. 207, Plot No. 3 & 4, Near Scienunero Company, Near PMT Depot, Shindewadi, Tal. Bhor, Dist. Pune",1000
58,"GREEN PLANET RECYCLING SOLUTIONS SURVAY NO 72/1/A, AT BHANDARLI, DHASAR MORI, OLD MUMBRA PANVEL ROAD, TAL THANE, DIST THANE, - 400612",550
59,"Green Tech Solution Industries Gat No. 83/1, A/p. Wakhari, tal. Pandharpur, Dist. Solapur 413304",250
60,"Green Valley E Waste Management Pvt Ltd Gut No. 525/10, Village-Ghosai, Saza-Met, Tal. Wada, Ghonsai, Palghar - 421312",596
61,"Greenscape Eco Management Private LimitedMIDC Chakan Industrial Area (Ph-II), Pune - 410501",900
62,"Hari Om Scrap Traders 957/43, K.P. 2nd Lane, S. P. Road, Opp. Om Namahshivaya Bldg. Mumbai Central, Mumbai",49.5
63,"Harshita Green Recyclers, Gat No. 452, Urse Talegaon Dhabade, Tal. Maval, Dist. Pune",500
64,"Indian Scrap Traders Survey No. 11, Hissa No. 3/A, Ghusia Market, Gala no: 661, Vill: Pimpari, Post : Dahisar Dist: Thane",200
65,"J Choudhary & Company Sr. No. 67/3, Pipewal Lane Mohammadiya Estate, Pimpri Old Mumbai Pune Road, pimpri, Thane 400612",500
66,"J.S.Enterprises Gat No-132, Khalumbre, Chakan - 410501",650
67,"JRS Recycling Solutions Pvt. Ltd. Gala No. 428, S. No. 74, Hissa No. 2A, Garib Nawaz Estate, Old Mumbai Pune Road, Dahisar, Dist. Thane",300
68,"Just Dispose Recycling Pvt. Ltd. Unit No: 103,110,119, Arvind Industrial Estate, Navghar, Vasai (E), Dist: Thane",1200
69,"K. G. N. Traders Survey No. 11, Hissa No. 30, Gausiya Market, Village- Pimpri, Post-Dahisar, Dist. Thane - 400612",900
70,"Kalawishwa Electrical, B-47 (Sub letting), MIDC Waluj, Dist. Aurangabad 431136",300
71,"Kapila Enterprises, Gat No. 46/3, At. Post. Supa, Tal. Parner, Dist: Ahmednagar",250
72,"Kohinoor E-Waste Recycling Pvt. Ltd. Gut No. 205/1 and 205/2, Opp. Gurudatta Washing Centre, Dhekhu, Khalapur, Dist. Raigad",240
73,"KRISHNA METAL REFINERY Plot No.1-2/143 , Sapronde Village, Taluka - Wada, District- Thane - 400086",750
74,"Kuldeep E-Waste Disposals, Sr. No. 50, Waghjainagar, Mabegaon Khurd, Katraj- Ambegaon Road, Katraj, Pune - 411046",90
75,"Lilashana Sales, Ramdas Company, Nandra Road, khamgaon, Dist. Buldhana",360
76,"MAC FIX STATION OFFICE NO 201, MAKHIJA ARCADE, 35TH ROAD, KHAR BANDRA LINKING ROAD, Bandra, Mumbai Suburban - 400052",800
77,"Mahalaxmi E- Recyclers Pvt. Ltd.Plot NO.77 & 78, Subplot No. 3A, Ramtekde Industrial Area, Hadapsar, Tal. Haveli, Dist. Pune",525
78,"Maharashtra Enterprises, Plot No. 17, Rangara Industrial estate, Kiravali (Adivali), Old Thane Pune Road, Tal. Panvel, Dist. Raigad",500
79,"Mahesh Traders Plot No. 316, Shree Shahu Market Yard, Tal. Karveer, Dist. Kolhapur",107
80,"Manihar Enterprises, Survey No. 74, Village Goteghar, Tal. Thane , Dist. Thane",1000
81,"Manish Metal Gat No 925 , Near Ashtekar Bangla, A/P- Theur, Dist- Pune - 412110",550
82,"Map Trading Company Gat No. 670, Villoli, Tal. & Dist. Nashik 422010",500
83,"Masstech Recycling LLP Gala no 56, 58, 59 & 82, M.J.K. Compound, Kherani Road, Sakinaka, Mumbai - 400072 - 400072",400
84,"Mauli  Metals,  Gut  No.  222,  At  Kadachi  Wadi, Post Chakan, Tal. Khed, Dist. Pune",360
85,"Mayra   Corporation,   Plot   No.   C-157,   MIDC Malegaon, Tal. Sinnar, Dist. Nashik",30
86,"Mukesh Metal Sr. No. 93, Hissa No. 1, Behind Deepesh Lodge Gotegar Uttarshiv, Mumbra Road, Dist. Thane",400
87,Nagraj  E-Waste  Recycling  S.No.41  Vill  Asoli Mouza Mahalgaon Tah Kamptee Dist Nagpur - 441202,1800
88,"National Traders S. No. 103/1/2, Undri-Saswad Road, Autade, Handewadi, Tal. Haveli, Dist. Pune",250
89,"National Trading Corporation, S. No. 56/1, Plot No. 18 & 19, Old Mumbai-Panvel Road, Village Pimpri, Tal. & Dist. Thane",140
90,"Navkar   RecyclingSr.   No.   69,   Hissa   No.   15, Mahamadiya   Estate,   Mumbai   Panvel   Road, Post. Dahisar, Dist.Thane",1000
91,"New Ecotech Recycling Survey no. 136,   Hissa   no.   364,   At   Post   - Khaniwade, Taluka-Vasai, District- Palghar Pincode -401305.",300
92,"New India Scrap Traders, Plot No. 31/E, Ashok Nagar, Dist. Aurangabad",150
93,"New Shivam Enteprises, Gala No. 326, At. Post. Khandale, Near Suruchi Dairy, Dist. Pune",4800
94,"NICHOLAS   RECYCLING   PRIVATE   LIMITED Nicholas Compound, Sativali Road, Valiv.",500
95,"Noble Trading Company, S. No. 11, Hissa No. 23, Gausiya Market, Village Pimpari, Old M. P. Road, Tal. & Dist. Thane",265
96,"Om Recycling 19/2   Mangalwa   Peth,19/2   mangalwar   peth pune., Peth, Dist. Pune",100
97,"OM R V Interiors, S. N. 92, Hissa No. 3, At Pelhar, Tal. Vasai, Dist Palghar",250
98,"Pakeeza Traders, Plot No. 406, 407, 408, At. Soyapur, Tal. & Dist. Aurangabad",720
99,"Perfect E-Waste Recyclers, Plot No. A-8/1, MIDC Chikhalthana, Tal. & Dist. Aurangabad",184
100,"Poona E-Waste Solutions, 1/1009, Gat No. 2334/4, Wagholi, Pune 412207",250
101,"Prabhunath Traders, Sr. No. 314, H. No. 2, uril Devachi, Tal. Haveli, Dist. Pune",1680
102,"Process Recycling Gala No,2, S.No 302, Richard Compound Near Maharashtra Vajan Kata, umang pharma road vasai phata, Dist. Palghar",125
103,"Progressive Recycler LLP. MIDC Chakan Industrial area (PH-II), D-45, Tal:- khed, Dist:- Pune",295
104,"Pune Greens Electronic Waste Recycler Pvt. Ltd. Sr. No. 63/1, B-4/1, Handewadi Road, Hadapsar, Pune",500
105,"R T Corporation, S.No.377, H.No.2, Ambisi Ganeshpuri Road, Village- Palsai, Tal: Wada, Dist-Palghar.",3000
106,"R.K.E-Recycling International LLP Gala no.-2, Tirupati Industrial Park, Sativali Road, Vasai East- 401208",130
107,"Rcube Recycling Pvt Ltd. Shree Ganesh Indl Estate,Vasai Palghat,Khairpada,Palghar - 401330",230
108,"Recycling Future, S. No. 169, Bhangarpada, Post Kundevahll, Tal. Panvel. Dist. Raigad",500
109,"Regreen Recycling FLT 205, POCKET 5, GANESHWADI CHS LTD., BLDG 5, BHIM NAGAR MIDC ANDHERI EAST, Mumbai Suburban - 400093",120
110,"Reteck Envirotech Pvt. Ltd. Plot No. 4 A, MIDC Taloja, Tal. Panvel, Dist. Raigad",2500
111,"Right E-waste Recycle, S. No. 40/2/C, 40/3, Nashik Highway, Kalyan Sape Road, Tal. Bhiwandi. Dist. Thane",400
112,"Rolex Entrprises, Survey No. 218, Hissa No. 4/1, Dahisar, Navi Mumbai",500
113,"Royal Scrap Traders, Gut No. 23, Plot No. 8, Mayurnagar, Naregaon, Dist. Aurangabad",230
114,"S. S. E-Waste Recyclers, Gut No. 442, Village Usar, Kondla Road, Tal. Wada, Dist. Palghar 421312",1500
115,"S.K. Enterprises Plot No: 134 Paiki Sub Plot No.- 1, Ahmednagar Industrial Estate Co-Op. Society Ltd, Nagpur-Pune Road, Ta & Dist - Ahmedanagar-414005.",5000
116,"S K Enterprises, S. No. 77, Hissa No. 1, Hindustan Market, Dieghar, Tal. Shil, Dist. Thane",300
117,"S. N. Brothers, S. No. 305, Dongaripada, Near Classic Company, Vasai- Virar (M. Corp.), Dist Palghar",180
118,"Saani Enterprises, Gut No. 64, Plot No. 65, Mahal Pimpri, Dist. Aurangabad",1200
119,"Sadab Traders Plot No. 1154, Gat No. 140/2A/1, Village Vilholi, Behind Jain Temple, Tal & Dist. Nashik - 422010",300
120,"SAHARA ENTERPRISES GAT N0 65 DEHU ALANDI ROAD , CHIKHALI, TAL.HAVELI DIST.PUNE - 411062",160
121,"Sahara Traders, Gala No. 1, Ground Floor, Kalyan Road, Temghar, Tal. Bhiwandi, Dist. Thane",700
122,"Sayma E-Waste Solutions, S. No. 323, Hissa no. 3, A Plot No. B-27, Urali Devashi, Tal. Haveli, Pune",335
123,"Scape E Recycler Private Limited Near Bus Stand, Behind Hotel Chandralok,Shikshak Colony, Purna Dist. Parbhani,Purna ,Parbhani - 431511",235
124,"Shabbir Traders Plot No. P/15 & 16, Sr. No. 119/120/121, Balaji Industrial Park, Behind Hindalco, Vill. Tondre, Tal. Panvel, Dist. Raigad",300
125,"Shifa Traders, Gut No. 63, Dehu Moshi Road, Kudalwadi, Chikhali, Tal. Mulshi, Dist. Pune",300
126,"Sigma Enterprises, Plot No. 5 & Gut No. 54/0, Adiwali, Tal. Panvel, Raigad",350
127,"SK E-Waste Disposal, Gat No. 116, Fine Weight Bridge, Jadhavwadi, Chikhali, Tal: Haveli, Dist: Pune.",250
128,"SOLAPUR ECON RECYFINE PLOT NO. K-47 MIDC CHINCHOLI, Taluka - MOHOL, Chincholikati, Solapur - 413255",750
129,"Spas Computers Pvt. Ltd. 7 & 12, Hema Industrial Estate, Premises, Cos Ltd. Sarvodaya Nagar, Rajmata Jijai Road, Jogeshwari E",500
130,"Star Envo Recycling (I) Private Limited, Gala No 3, Survey No. 11, Hissa No. 1/1, Choudhary Compound, Wakanpada, Pelhar, Waliv, Vasai (E), Tal. Vasai, Dist. Palghar",250
131,"Sultan Disposal Stores, S. No. 28/2A/B, Undri, Opp. R Point, Pune Saswad Road, Tal. Haveli, Dist. Pune 411028",600
132,"Suritex Pvt.Ltd. Plot No. B-111, MIDC Industrial Area, Butibori, District - Nagpur.",360
133,"THE2BROS 70 AS KURLA ANDHERI ROAD,OPP JARIMARI TEMPLE,Chandivali,Mumbai Suburban - 400072",275
134,"Trekomac Refurbs Pvt. Ltd. Plot No, G-3, Five Star MIDC Kagal Hatkanangale, Tal. Kagal, Dist. Kolhapur",400
135,"Unity Enterprises, Gut No. 1745. Ranjangaon Ganpati, Tal. Shirur, Dist. Pune",1200
136,"Universal Waste Management Gala No. B-10, D. P. K. Compound, Khairani Road, Sakinaka, Mumbai – 400072 - 400072",310
137,"Vatsala Enterprises, Gut. No. 183-6, Village Rajapur, Tal. Sangamner, Dist. Ahmednagar",280
138,"Vora Computers Pvt. Ltd. 1B, Lara Apartments, Sadhu Vaswani Chowk, Hotel Woodland Lane, 1/D/3, Tal. & Dist. Pune",50
139,"Wonder Print Technologies Plot No. M-36, MIDC Ambad, Dist. Nashik",300
140,"Yasin Scrap, Gut No. 546, Shed No. 1, Jadhav Vasti, Village Wagholi, Tal. Haveli, Dist. Pune",200
