Sno,Name/Address,Installed Capacity (MTA)
31,"M/s. Elxion Pvt. Ltd., P. No. 24, 23rd A. Main Road, J.P Nagar 2nd Phase Indl Bangalore- 560078",360
32,"M/s. K. G. Nandini Enterprises, No. 46/4, 46/5, Billakempanahalli Village, Bidadi Hobli, Ramanagaram District.",7200
33,"M/s. Eco Bird Recycling Company Pvt. Ltd., No. 185, Azeez Sait industrial Area, Nayandahalli, Mysore Road, Bangalore -39",360
34,"M/s. Afeefa Spectro Alloys, Sy No. 289/1, Nagaragere village, Gauribidnur Tq.",290
35,"M/s. Rashi E-Waste Solutions Pvt. Ltd., SW-51, Shed No. 26, Phase II, Apparel Park, Doddaballapura, Bangalore Rural District",300
36,"M/s. Coral Communication and Networks Pvt. Ltd., No. 52, Hoskote Industrial area, Bangalore Rural District",8916
37,"M/s. Ash Recyclers, No. 3, KSSIDC Ind Estate, Hoskote, Bangalore Rural District",120
38,"M/s. E Pragathi Recycling, Plot No. 66, Road No. 18, Antharasanahalli Indl Area, IInd Phase, Tumkur",3600
39,"M/s Sheltron Digital systems Pvt.Ltd No.27, maney estate, Sy.no.121, Kumbalgodu, Bengaluru-560074",360
40,"M/s Tes-Amm, India pvt. Ltd.  Sy. No. 118, Site. No. 8, Mookambika  Temple Road, Machodalli Forest Gate, Magadi Road, Bangalore",3240
41,"M/s Sonal Metacop, No.5, Sy No.5/1, Kachohalli Industrial Estate, Kachohalli, Laxmipura Post, Bangalore-562123",720
42,"M/s E-Ward & Co.  No.11, Mutthachari Industrial area, Nayandahalli, Mysore road, Bangalore-560039",300
43,"M/s. Swadesh Recyclers LIP,Sy. No. 216, KIADB Industrial Area, Koorandahalli Village, Malur Taluk Kolar District",7800
44,"M/s. FR E-Waste Enterprises, Shed No. 120, Katha No 120/B, 52120/C, 5th Cross, Azeez Saig Industrial Area, Nayandahalli, Ward No 131, BBMP RR Nagar Zone,Bengaluru—560039",300
45,"M/s. Amara metals enterprises, No V20/1, 4th main, 2nd stage, Peenya Industrial Area, Bengaluru -560058",1080
46,"M/s. Sri sai company # R-15, Katha No.320/322/29, Chikkanagamangala, Sarjapura Hobli, Anekal Taluk, Bengaluru",360
47,"M/s. Global E-waste Management Services, P- 21, Hebbal Industrial area, Hebbal I Phase,Mysuru",360
48,"M/s. Echakra Innovations Pvt Ltd SB/47, 1stCross, Peenya Ind Estate-Stage-1, Bengaluru",318
49,"M/s. HMG Eco care Recycling ,C-22 3rd cross, Kumbalagodu, Bangalore560074",300
50,"M/s. Npewaste Private limited, Plot No. 96, Koorgalli Industrial Area, Belavadi Post, Mysuru-570018",1200
51,"M/s.Earth Care E-waste Private Limited.,Plot No.15,KIADB Industrial Area, 155,Kumbalgodu,KIADB Industrial Area,Kumbalgodu Village,Kengeri Hobli,Bengaluru South Taluk,Bengaluru",300
52,"M/s. E-Plant Recycling, Plot No. 242/A, 2"" Phase, Narasapura Industrial Area, Kolar Tq & District",300
53,"M/s. Greens Recology,Plot No. 415, KIADB, Vasanthanarapura Industrial Area, TumakuruTaluk and District",300
54,"M/s. India Best Way Recycling, Shed No. 08 (Mane Industrial Estate), Sy. No. 155, Kumbalgodu Village, Kengeri Hobli, BengaluruSouth Taluk,Bengaluru Urban District—560074",300
55,"M/s. Eco Trend recyclers #81 A & 82A Kachohalli Industrial Estate,Dasanpura Hobli, Bengaluru",300
56,"M/s. Extract,Plot No. 14/A, KIADB, Attibele Indl. Area, Anekal Taluk, Bengaluru",650.04
57,"M/s. Gopalan reprocessors India Pvt Ltd  No.131, A Main Road, Industrial Suburb, PeenyaIi Stage, Bengaluru",600
58,"M/s. IKON Recyclers .,Plot No.5, Ground & 2"" Floor, 2nd Cross, 2"" Main Road, Magadi Road,Bengaluru -560079",300
59,"M/s. E-Scrappy Recyclers,No. 106, Adrahalli main road, Byreshwara industrialEstate, Peenya2nd stage, Bengaluru -560091",360
60,"M/s. Global Tech RecyclersNo-8/5,2nd Building, 1st Cross,,Kachohalli Village &KachohalliIndustrial Estate,Lakshmipura Post, Dasanapura",300
61,"M/s. GRKMS Private Limited,1st Stage, Sompura,Bharathipura Dabaspet,Bengaluru-562111",4099.92
62,"M/s. Communication Test Design, India Private Limited Plot No 48, Near Balaji Temple, PeenyaII Phase, Bengaluru -560058,",1008
63,"M/s. JSA Web solutions, Plot No. 93 A-4, Phase II, Jigani Industrial Area, Jigani Hobli, AnekalTaluk Bengaluru",360
64,"M/s. Recycler India MGT LLP , Plot No.679 to689, KIADB industrial area , Harohalli 3rd phase Kanakapura Taluk, Ramanagara District",5071.92
65,"M/s. Trishyiraya Recycling India pvt Ltd, SW51, Apparel park, indl area, Bashettihalli & part of Arehalli, Shed no.10, Doddballapura, Bengaluru-561203",360
66,"M/s. Envirotech IT Solutions No.136, 1st Floor, Shiva Farm, Magadi MainRoad,Vrushabhavathinagar, Bengaluru -560079",312
67,"M/s. Ace Recyclers, Plot No. C29, KSSIDC, Industrial Estate, Hoskote Taluk, Bengaluru -562114",312
68,"M/s. E-Pragathi Recycling Pvt. Ltd. Plot No. 564, Sy.No.55 & 52, Yelladadlu Village, Vasanthanarsapura, Industrial Area, 2nd Stage,Kara, Hobli, Tumkur -572128",3240
69,"M/s. Best E-waste Recyclers Pvt Ltd., Plot No.459, Vasantha Narasapura Indl Area, 2ndPhase, Tumkur- 572138",600
70,"M/s. E2E Recycling Buisness Pvt Ltd No.550,  Sy No.102(p)Beeragondanahalli, Village, SIA 2nd stage,Nelamangala, Bengaluru",432
71,"M/s. Return lab Recyclers pvt ltd. P.no.68, Sw- 51, Phase-2, Doddabalapura Apparel park,Bengaluru-561203",360
72,"M/s. Think Recycling Pvt Ltd Plot No b-77 KSSIDC dustrialarea,Bommasand ra Bengaluru -560099",600
