Sno,Name/Address,Installed Capacity (MTA)
43,"M/s   B.R.P.   Infotech   Private   Limited,   F-394, Phase-1, M. G. Road, Industrial Area, Hapur",9000
44,"M/s Sky Green Waste Recycling, Management, Khasra No.174, Alipur Jijmana, Meerut, U.P",5475
45,"M/s  Swachh  Bharat  Recycling  Company,  Gali No.4,  2083,  Saipuram  Industrial  Area,  Delhi Road, Meerut, U.P.",4800
46,"M/s Rudra Interprises, Plot No.A-96, Sector A-4, Tronica City, Loni, Ghaziabad",500
47,"M/s Avgree Recycling Pvt.Ltd. KH No.549, Vill- Tiyala,    Meerut-Bulandshahar    Road,    Hapur Bypass, Hapur",11000
48,"M/s Faiz Recycling, G-235, MG Road, Industrial Area, Hapur",36.67
49,"M/s  Malik  Recycling,  25-A, Anand  Ind.  Estate, Mohan Nagar, Ghaziabad.",10000
50,"M/s  U.W.M. Recycling Pvt Ltd. Plot No.-F-331, UPSIDC, M.G. road, Ind Area, Hapur.",12
51,"M/s  Safdar E-Recycling Pvt  Ltd. Plot No.H-69, M.G. road, Ind Area, Hapur",12000
52,"M/s Horizon Recycling Pvt.Ltd., Khasra No.35, Kumarhera,      7th      km      Dehradun      road, Saharanpur, U.P.",12000
53,"M/s  Golden  E  Waste  Recyclers  Pvt.  ltd.,  Plot No.-12A,  Gagol  Road,  Behind  Sophia  School, Udyog Puram, Partapur, Meerut",9600
54,M/s    R.D   Recylers    khasara    no-46   village- shakharpur Hapur road Meerut,300
55,M/s Earth Zone Recycling Plot no-11 pargana- Hazipur Hapur road meerut,2400
56,M/s      Making      India      E-waste      recycling management   plot   no-50   sector-3   Shatabdi nagar industrial Area meerut,1080
57,M/s    Indian    Recycler    Khasra    No338    Vill- Wazidpur Kavali Jansath Muzaffarnagar,3500
58,"M/s   Greentek   Reman   Pvt   Ltd.   Plot     No-B- 2/12,Site-B Inds Area Surajpur, Greater Noida",9000
59,"M/s  Clean  Waste  Management.  Plot  No-131, Udhyog   kendra   Second,  Ecotech-3,   Greater Noida",100
60,"M/s  El  green  Recycling  Pvt  ltd.G-33,  Sec-63, Noida",100
61,"M/s.  AIMS  Technologies  Pvt  Ltd.G-256,  MG Road Inds area, Hapur",1500
62,"M/s  Future  Web,  48-A,  Harthala   Inds   Area, Kanth Road, Moradabad",750
63,"M/s Buddha Industries, Behind vision Exports Faridpur Sambhal Road, Moradabad",250
64,"M/s    Latoori    Shah    Traders,Gata    No1396, Bhojpur, Dharampur, Moradabad",1200
65,"M/s  Shoeb  Waste  solution,  Gata  No250,  Vill- Fazalpur, Near Hindoli, Chadausi, Sambhal",600
66,"M/s       NR       E-Waste       Company,       Gata No235,237,245,    250K    Vill-Sirsa,    Inayatpur, Moradabad",750
67,"M/s Eco Trader, Plot no.454, Rooma, Kanpur",100
68,"M/s Aseries Envirotek India Pvt, Ltd, Plot no. B- 10 Industrial area, Salon, Raebareli.",3600
69,"M/s    ATR    Traders    Private    Limited,    G380, M.G.Road,  Industrial  Area,  Hapur  Ghaziabad 2400 MT/A",2400
70,"M/s    Electronic    Waste    India    VillKhujnawar Chutmalpur,    Kalasia    Road    Teh.-Behat    , Saharanpur",9000
71,"M/s   Eco   Green   India,   Khasra   no.-447,   Vill- Ghosipur, Hapur Road, Meerut",365
72,"M/s S.D. Recycling Process Industries, Khasra no.-51,   52,   ,   Vill-   Shakarpur,,   Hapur   Road, Meerut",4800
73,"M/s   HIN   Green   E-waste   Recycling   (P)   Ltd, Khasra    no.-733,737,    Vill.-   Baral,    Partapur, Meerut.",12000
74,"M/s    J    I    ScrapTraders,    Plot    no.    418/12, Shastrinagar, Meerut",240
75,"M/s E Tech Interprises, Plot no.- E- 26,Phase-I/ G322   Phase-II,   M.G.Road,   Industrial   Area, Hapur",2520
76,"M/s  Habib  Trading  Company,  Khasra  no-  28, Village-   Alipur,   Jijmana,Pargana   &   Tehsil- Meerut",5400
77,"M/s   B.R.P.   Infotech   Private   Limited,F-   381, Phase-I, M.G.Road, Industrial Area, Hapur",6000
78,"M/s Recology Recycling India Pvt. Ltd., Khasra no.-69,   70,71   ,   Vill-Piple   Kheda,,   Sargana Sarawa Meerut, Meerut",13764
79,"M/s  Bright  E-Waste  Recycling  India,  Village- Ganeshpur, Mawana, Meerut",3240
80,"M/s  Sheetala  Waste  Management  Project  Plot no.-D-26,    Sikandrabad    Indl.    Area,    Tehsil- Sikandrabad, Bulandshahar",3000
81,"M/s Spreco Resource Recyclers, Khasara no.- 235,Vill-Abdulpur,   Block-   Khekra,   Baghpat, Meerut- 250101",3000
82,"M/s Hind Recycling Pvt. Ltd., G- 460, UPSIDC, Industrial Area M.G.Road, Hapur",960
83,"M/s   Eco   Fly   E-Waste   Recycling   Pvt.   Ltd., Khasara  no-26,  Piplikhera,  Bhamanpur  Road, Indl. Area, Meerut",7800
84,"M/s Green Earth E- Recycling , F-95, UPSIDC, Industrial     Area,      Gopalpur      Sikandrabad, Bulandshahar",6000
85,"M/s  Waste  Tech  Recycling  Company,  Plot  no HD-7,  UPSIDC,  Industrial  Area,  Sikandrabad, Bulandshahar",1800
86,"M/s LIMR Recycling Pvt. Ltd., G- 256, Industrial Area, M.G.Road, Hapur",6000
87,"M/s Sky Green Waste Recycling Managememt , Khasra No.- 51, 53,54,66,20,21, Vill.- Piplikhera, Hapur Road, Indl. Area, Meerut",9000
88,"M/s  D  M  Recyclers  Vill.-  Phaphunda,  Hapur Road, Meerut",750
89,"M/s Global Green E-Waste Recycling, Khasra No.- 57, Indl. Area, Udhyogpuram, Partapur, Meerut",18000
90,"M/s. Anshul Machinery Job Works Unit-II, Khasra No. -260, Masuri, Dasna, Hapur",5000
91,"M/s. Shiv Shakti metals Old Name Surya Metal, Khasra No. -545, Vill-Phaphrana, S. P. Industrial Area, Modi Nagar, Ghaziabad",963
92,"M/s. Waste PRO Recycling, Khasra No 35 And 36, Udayrampur, Nangla, Dasna, Tehsil- Dhaulana, Hapur,",6000
93,"M/s. S F Recycling Pvt Ltd, Plot No. F-4, M.G. Road, Industrial Area, Hapur.",960
94,"M/s. More Bright E Waste Erecycler P. Ltd., C- 78, Phase-III, M. G. Road, Indtl Area, Hapur",4320
95,"M/s. Green Zone Recycling (P) Ltd., Plot No. -H. D. -6, UPSIDC Indl. Area, Sikandrabad, Bulandshahr",3000
96,"M/s. Green Earth Recycler, Plot No. F-557, Industrial Areal, M G Road, Hapur",720
97,"M/s. A One E Waste Recycling, Vill. -Khardoni, Shekhupur, Meerut",301.8
98,"M/s. Sun E-Wsate Recycling Company F-163, Industrial Area, Kosi Kotwan, Ext.-1, Kosi Kalan, Mathura.",1200
99,"M/s. Ezwaste Recycling, Khasra No. -38, Vill. - Sardhan, Budhana Road, Khatauli, Muzaffarnagar",3000
100,"M/s. Sri Balaji, Arazi No. -316/7, Vill.-Kataria, Pargana-Ralhupur, Distt.-Chandauli",5000
101,"M/s. A Q Recycling, Plot No-F-639, UPSIDC, Industrial Area, M. G. Road, Hapur",864
102,"M/s. Rajdhani Recycling P. Ltd., Plot No. F-416, M. G. Road, Indutrial Area, Hapur",3600
103,"M/s. JSD Enterprises, J-78, Site-C, Surajpur, Industrial Area, Greater Noida",3000
104,"M/s. E-Waste Recyclers India, Unit-3, Khasra No. -266, 110 KM Mile Stone, Tehsil-Chhata, Mathura",4800
105,"M/s. E-Waste Recyclers India, E-49, UPSIDC Industrial Area, Kosi Kotwan, Mathura",1500
106,"M/s 2NDS Computer, Plot no J-71, J-72, UPSIDC Industrial area, Kosi Kotwan, Mathura.",600
107,"M/s Sanif Insulation,Vill- Kakrala, Pargana- Bhokerheri, opp. Sugar Mill Morna, Muzarffarnagar-251316",300
108,"M/s Green India E-Waste Recycling Khasra no-3, Hapur Road, Vill.- Ruknuddin Urf, Phaphunda, Meerut",1440
109,"M/s Ever Green E-Waste Recycling Management,Vill.-Rampur, Tehsil.- Mahmudabad, Distt.- Sitapur",936
110,"M/s Era Green E-Waste Recycling Pvt. Ltd., Khasra no-189/2, Plot No.- B-35/1, Vill.-Kunda, Distt.- Meerut",9000
111,"M/s A R Computer Scrap, Plot No.-7, Pillokhari Road near Falak Palace, Meerut",6600
112,"M/s Aksha Recycling & Waste Management Pvt. Ltd.,, Khasra no.- 876,1193-1195, 7.5 K.M. Jansath Road,Vill.- Sher Nagar, Muzaffarnagar",15000
113,"M/s Khekra Fabrication & Recycle Industries Pvt Ltd.,Khasra no.-31,Vill-Udairampur Nagla,UPSIDC Asrea,Mussoorie Gulawati Road,Pargan-Dasna,Tehsil-Dhaulana,Hapur245301",1800
114,"M/s Greenwish E-Waste Recyclers, F- 162, Industrial Area, Kosi Kotwan, Extn.-1, Kosi Kalan, Mathura",1200
115,"M/s GreenLink Recyclers Pvt. Ltd., Khasra no.- 1641, Dasna, Kushilya Road, Tehsil- Ghaziabad, distt.- Ghaziabad- 201009",6000
116,"M/s Cynosure Recycling Private Ltd. Khasara No.-64, Vill.-Peeplikhera, Pargana-Sarawa, Meerut-250002 U.P.",9000
117,"M/s Reclaim Enviro Pvt. Ltd., E.-506, Industrial Area, M.G. Road, Hapur",1236
118,"M/s Ecotech Recyclers, Khasara No.- 1049,1050.1051, Vill.-Peeplikhera, Pargana-Sarawa, Meerut-",4440
119,"M/S Recyclico Waste Management, Khasra No169 Green Land Industrial Complex, Gram- Dhakpura Tappa Haweli,Badaun, Up - 243638",10500
120,"M/s WEEE PRO RESource Recovery Solutions Private Limited  F-39 UPSIDC Industrial area , Gopalpur , Sikandaradbad,Buland shahar- 203001",1476
121,"M/s. 3R Recycler   Plot No. A-61/1, UPSIDC Industrial Area, Sikandrabad, Bulandshahar, Buland Shahar- 203202 Uttar Pradesh",6600
